Radziwill Franz
Renger-Patzsch Albert
Räderscheidt Anton
Raynaud Jean Pierre
Reyle Anselm
Ross Darby
Richier Germaine
Rietveld Gerrit
Robertson James
Rotella Mimmo
Rivera Manuel
Ruff Thomas
Rousseau René
Rouault Georges
Sallberg Harald
Sander August
Sasse Jorg
Saura Antonio
Schmidt Peter
Scharff Edwin
Schifano Mario
Schmidt Peter
Schmidt-Rottluff Karl
Schad Christian
Seradour Guy
Schumacher Emil
Schneider Gregor
Schneider Gerard
Schultze Bernard
Servranckx Victor
Serebriakova Zenaide
Schnell David
Schroder Sonnenstern Friedrich
Singier Gustave
Sitte Willi
Severini Gino
Smith John Noel
Souverbie Jean
Sironi Mario
Soulages Pierre
Sievers Wolfgang
Swan Douglas Litterick
Sunyer Joaquin
Spurrier Stephen
Spiro Eugen
Thibesart Raymond
Telemaque Herve
Timms Freddy
Tinguely Jean
Tjampitjinpa Kaapa
Tapies Antoni
Tappert Georg
Tanguy Yves
Tuckson Tony
Ubac Raoul
Trockel Rosemarie
Tjapaltjarri Clifford Possum
Tjupurrula Donkeyman Lee
Uecker Gunther
Tuebke Werner
Turcato Giulio
Vasconcelos Joana Baptista De
Vantongerloo Georges
Varo Remedios
Valensi Henri
Van der Leck Bart
Valdes Manuel
Vasarely Victor
Villon Jacques
Walther Franz Erhard
Watson Judy
Vieira Da Silva Marie Elene
Villemot Bernard
Vostell Wolf
Villegle Jacques
Weischer Matthias
Watson Susie
Wauer William
Yvaral
Zenderoudi Charles Hossein
Wurm Erwin
Wou-Ki Zao
Zadkine Ossip
Zobernig Heimo
Adeyemi Abi
Alele Henrietta
Acloque Henny
Anderson Dennis
Adshead Mary
Agis Maurice
Adaoui Nathalie
Ajenusi Clare
Angus Berkowitz Maggie
Adelle Amanda
Angus Peggy
B Franko
Bailey Veronica
Antram Pauline
Babayan Karen
Attwell Michael
Arno Caroline
Arias Fernando
Banks Caroline
Bacon Francis
Arnold Dave
Baker Martin
Ascough Cristina
Barron Gill
Berbeck Charles
Bedford Harriet
Berlin Greta
Bassingthwaighte Inger
Beecroft Kit
Baxter Alison
Beguiristain Inaki
Barritt Marcia
Bayley Harry
Beel Lynne
Bartlett David
Bassingthwaighte Lewin
Bell Ellen
Bassett Sally
Berry June
Bill Patrick
Blossom Joe
Borza Mario
Bird Penelope
Bone Stephen
Blow Sandra
Black Simon
Birkin Jenny
Blake Peter
Boyes Nikki
Bowling Frank
Bloxham Judy
Bhimji Zarina
Bowtell Allister
Bilton Brian
Blathwayt Peter
Blik Maurice
Blamey Norman Charles
Bolter Mark
Burley Robert
Budzilla Sahaja
Bradford Robert
Brunskill David
Bryant Kenneth M.
Bruckner Ruth
Brocklebank Patrick
Brookes David
Brown Diana E.
Britton Trevor
Buntrock Malcolm
Bramble Richard
Brookes David John
Boyle Family
Briggs Wendy
Burton Andrew
Carlson Inger
Canning Frank
Caulfield Patrick
Busuttil Joseph
Chakravarthi George
Campbell Larna
Carpenter Benedict
Campbell Huw
Campbell Colan John
Burns Charles
Causer Susan
Buurman Andrew
Christian Yolanda
Coles Peter
Coleman Les
Clough Prunella
Clark Iain
Collins Julie
Chapman Ed
Cloake Beatrice
Conway Hazel
Chaplin Robert Glynne
Clarke Arabella
Christian David
Clarke Brian
Clifford Liz
Chukwuogo-Roy Chinwe
Campbell Rosi
Cooper Ron
Cox Rosalie
Craxton John
Cornell Pamela
Corbett Peter
Corfield Carolyn
Cooper David
Cooper Simon
Corr Mhairi
Cox Stephen B.
Dale Robin and Nell
Daly Carla
Dale Robin
Cummins Bonny
Danby Simon
Cursiter Stanley
Dang Linda
Dalton Lisa
Crockett Michael
Culver Daniel
Culley Derek
Dacres Desrene
Curran Oliver
Curran Ann
Daniels Harvey
Dalwood Kathy
Cummins Lisa
Cutting Charles
Dack Thomas
Djordjevic Jovan
Das Prodeepta
Dennis Angelika
Davidson Anne
Digby Paul
Desjay
Dean Paul
Devine Martin
Brooking Colin D
Day Valerie Diane
Defre
De Giovanni Paola
Duscher Monika
Edmunds Diana
Earley Clive
Dupays Nicky
Edery Edna
Ellis Jason
Down Nicholas
Elias Abi
Edmonds Angela
Edwards John
Dunning Sacha
Downton David
Ellis Crispin
Douglas Camp Sokari
Ensor Matthew
Fairweather Ian
Emin Dame Tracey
Evans Wendy
Fadare Remy
Evans Stephen
Farid Parvaneh
Faraday Katy
El-Salahi Ibrahim
Erte. Romain de Tirtoff
Fernandes Maria-Theresa
Fleetwood-Walker Bernard
Fenn Deborah
Fiennes Georgia
Flett Alex
Fleary Selwyn
Fowles Tanya
Flynn Mary
Fothergill Stephen
Fenton Madeline
Frost Jane
Gilbert Terence J.
Gaussen Marks Elena
Freeman Judie
Friend Bill
Frankland John
Fox Peter
Gamble Thomas
Garaway Michael
Gifford Nia
Garwood Frank
Gill Ranpal
Fox Karrie
Foxhall Kelly Jane
Fricker Valerie
Gabay Laurie
Froste Peter
Grant Sally
Gowdy Carolyn
Gollifer Susan
